WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((271857.6981 2099675.1569,271657.6981 2099675.1569,271557.6981 2099848.362,271657.6981 2100021.5671,271857.6981 2100021.5671,271957.6981 2099848.362,271857.6981 2099675.1569)))","4","899",93775.00000000000,203450.00000000000,268775.00000000000,313925.00000000000,208100.00000000000
"MULTIPOLYGON (((271857.6981 2099328.7467,271657.6981 2099328.7467,271557.6981 2099501.9518,271657.6981 2099675.1569,271857.6981 2099675.1569,271957.6981 2099501.9518,271857.6981 2099328.7467)))","4","900",58950.00000000000,129425.00000000000,180550.00000000000,206175.00000000000,134075.00000000000
"MULTIPOLYGON (((271557.6981 2099155.5417,271357.6981 2099155.5417,271257.6981 2099328.7467,271357.6981 2099501.9518,271557.6981 2099501.9518,271657.6981 2099328.7467,271557.6981 2099155.5417)))","2","901",71000.00000000000,141450.00000000000,187450.00000000000,206300.00000000000,150900.00000000000
"MULTIPOLYGON (((271257.6981 2099675.1569,271057.6981 2099675.1569,270957.6981 2099848.362,271057.6981 2100021.5671,271257.6981 2100021.5671,271357.6981 2099848.362,271257.6981 2099675.1569)))","3","902",80900.00000000000,179266.66666700001,239566.66666700001,279366.66666699998,185466.66666700001
"MULTIPOLYGON (((270657.6981 2099675.1569,270457.6981 2099675.1569,270357.6981 2099848.362,270457.6981 2100021.5671,270657.6981 2100021.5671,270757.6981 2099848.362,270657.6981 2099675.1569)))","4","903",106375.00000000000,171300.00000000000,262800.00000000000,289025.00000000000,230650.00000000000
"MULTIPOLYGON (((271257.6981 2099328.7467,271057.6981 2099328.7467,270957.6981 2099501.9518,271057.6981 2099675.1569,271257.6981 2099675.1569,271357.6981 2099501.9518,271257.6981 2099328.7467)))","4","904",82025.00000000000,173775.00000000000,222575.00000000000,257775.00000000000,178500.00000000000
"MULTIPOLYGON (((270657.6981 2099328.7467,270457.6981 2099328.7467,270357.6981 2099501.9518,270457.6981 2099675.1569,270657.6981 2099675.1569,270757.6981 2099501.9518,270657.6981 2099328.7467)))","3","905",83033.33333330000,132033.33333299999,205266.66666700001,234733.33333299999,211166.66666700001
"MULTIPOLYGON (((270957.6981 2099155.5417,270757.6981 2099155.5417,270657.6981 2099328.7467,270757.6981 2099501.9518,270957.6981 2099501.9518,271057.6981 2099328.7467,270957.6981 2099155.5417)))","1","906",100000.00000000000,221300.00000000000,276900.00000000000,332100.00000000000,221300.00000000000
"MULTIPOLYGON (((270057.6981 2099675.1569,269857.6981 2099675.1569,269757.6981 2099848.362,269857.6981 2100021.5671,270057.6981 2100021.5671,270157.6981 2099848.362,270057.6981 2099675.1569)))","5","907",120040.00000000000,245400.00000000000,345700.00000000000,389200.00000000000,254120.00000000000
"MULTIPOLYGON (((270057.6981 2099328.7467,269857.6981 2099328.7467,269757.6981 2099501.9518,269857.6981 2099675.1569,270057.6981 2099675.1569,270157.6981 2099501.9518,270057.6981 2099328.7467)))","4","908",132700.00000000000,264050.00000000000,401500.00000000000,467075.00000000000,274950.00000000000
"MULTIPOLYGON (((270357.6981 2099155.5417,270157.6981 2099155.5417,270057.6981 2099328.7467,270157.6981 2099501.9518,270357.6981 2099501.9518,270457.6981 2099328.7467,270357.6981 2099155.5417)))","3","909",92833.33333330000,153833.33333299999,232400.00000000000,261966.66666700001,232966.66666700001
"MULTIPOLYGON (((269457.6981 2099675.1569,269257.6981 2099675.1569,269157.6981 2099848.362,269257.6981 2100021.5671,269457.6981 2100021.5671,269557.6981 2099848.362,269457.6981 2099675.1569)))","5","910",264880.00000000000,525320.00000000000,624340.00000000000,788020.00000000000,548780.00000000000
"MULTIPOLYGON (((269757.6981 2099501.9518,269557.6981 2099501.9518,269457.6981 2099675.1569,269557.6981 2099848.362,269757.6981 2099848.362,269857.6981 2099675.1569,269757.6981 2099501.9518)))","10","911",168160.00000000000,343300.00000000000,431940.00000000000,533700.00000000000,359760.00000000000
"MULTIPOLYGON (((269157.6981 2099501.9518,268957.6981 2099501.9518,268857.6981 2099675.1569,268957.6981 2099848.362,269157.6981 2099848.362,269257.6981 2099675.1569,269157.6981 2099501.9518)))","3","912",316933.33333300002,645766.66666700004,702800.00000000000,932066.66666700004,686100.00000000000
"MULTIPOLYGON (((269757.6981 2099155.5417,269557.6981 2099155.5417,269457.6981 2099328.7467,269557.6981 2099501.9518,269757.6981 2099501.9518,269857.6981 2099328.7467,269757.6981 2099155.5417)))","5","913",181800.00000000000,378980.00000000000,502560.00000000000,580320.00000000000,392180.00000000000
"MULTIPOLYGON (((269157.6981 2099155.5417,268957.6981 2099155.5417,268857.6981 2099328.7467,268957.6981 2099501.9518,269157.6981 2099501.9518,269257.6981 2099328.7467,269157.6981 2099155.5417)))","3","914",316933.33333300002,645766.66666700004,702800.00000000000,932066.66666700004,686100.00000000000
"MULTIPOLYGON (((269757.6981 2099848.362,269557.6981 2099848.362,269457.6981 2100021.5671,269557.6981 2100194.7721,269757.6981 2100194.7721,269857.6981 2100021.5671,269757.6981 2099848.362)))","6","915",169200.00000000000,333216.66666699998,389016.66666699998,503983.33333300002,341766.66666699998
"MULTIPOLYGON (((270057.6981 2100367.9772,269857.6981 2100367.9772,269757.6981 2100541.1823,269857.6981 2100714.3874,270057.6981 2100714.3874,270157.6981 2100541.1823,270057.6981 2100367.9772)))","3","916",171866.66666700001,331433.33333300002,434466.66666699998,499300.00000000000,330200.00000000000
"MULTIPOLYGON (((270057.6981 2100021.5671,269857.6981 2100021.5671,269757.6981 2100194.7721,269857.6981 2100367.9772,270057.6981 2100367.9772,270157.6981 2100194.7721,270057.6981 2100021.5671)))","3","917",171866.66666700001,331433.33333300002,434466.66666699998,499300.00000000000,330200.00000000000
"MULTIPOLYGON (((270357.6981 2099848.362,270157.6981 2099848.362,270057.6981 2100021.5671,270157.6981 2100194.7721,270357.6981 2100194.7721,270457.6981 2100021.5671,270357.6981 2099848.362)))","4","918",117700.00000000000,235075.00000000000,342550.00000000000,383050.00000000000,245975.00000000000
